category,agency,account,project,recipient,location,state,budget_request,additional_amount,amount,origination,requestor_one_full_name,requestor_one_bioguide_id,requestor_one_chamber,requestor_one_party,requestor_two_full_name,requestor_two_bioguide_id,requestor_two_chamber,requestor_two_party,requestor_three_full_name,requestor_three_bioguide_id,requestor_three_chamber,requestor_three_party,requestor_four_full_name,requestor_four_bioguide_id,requestor_four_chamber,requestor_four_party,requestor_five_full_name,requestor_five_bioguide_id,requestor_five_chamber,requestor_five_party,requestor_six_full_name,requestor_six_bioguide_id,requestor_six_chamber,requestor_six_party,requestor_seven_full_name,requestor_seven_bioguide_id,requestor_seven_chamber,requestor_seven_party,requestor_eight_full_name,requestor_eight_bioguide_id,requestor_eight_chamber,requestor_eight_party,requestor_nine_full_name,requestor_nine_bioguide_id,requestor_nine_chamber,requestor_nine_party
"Transportation, and Housing and Urban Development, and Related Agencies",Department of Housing and Urban Development,Community Development Fund,Affordable Housing Services,Churches United For Fair Housing,,NY,,,1200000,S,Kirsten E. Gillibrand,G000555,sen,Democrat,Charles E. Schumer,S000148,sen,Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Transportation, and Housing and Urban Development, and Related Agencies",Department of Housing and Urban Development,Community Development Fund,South End Albany Workforce Training Center,"Port of Albany, NY",,NY,,,1500000,S,Charles E. Schumer,S000148,sen,Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Transportation, and Housing and Urban Development, and Related Agencies",Department of Housing and Urban Development,Community Development Fund,Downtown Ithaca Conference Center and affordable housing,City of Ithaca,,NY,,,2000000,S,Charles E. Schumer,S000148,sen,Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Transportation, and Housing and Urban Development, and Related Agencies",Department of Housing and Urban Development,Community Development Fund,YMCA of Long Island— Wyandanch Wellness Center,Young Men’s Christian Association of Long Island,,NY,,,2000000,S,Charles E. Schumer,S000148,sen,Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Transportation, and Housing and Urban Development, and Related Agencies",Department of Housing and Urban Development,Community Development Fund,CAMBA Capital Improvements for Winthrop Street Buildings,"CAMBA, Inc.",,NY,,,2006000,S,Kirsten E. Gillibrand,G000555,sen,Democrat,Charles E. Schumer,S000148,sen,Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Transportation, and Housing and Urban Development, and Related Agencies",Department of Housing and Urban Development,Community Development Fund,Covenant House’s Purpose-Built Flagship Facility,Covenant House New York,,NY,,,2500000,S,Kirsten E. Gillibrand,G000555,sen,Democrat,Charles E. Schumer,S000148,sen,Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Transportation, and Housing and Urban Development, and Related Agencies",Department of Housing and Urban Development,Community Development Fund,Long Island Greenway,The Trust for Public Land,,NY,,,2500000,S,Kirsten E. Gillibrand,G000555,sen,Democrat,Charles E. Schumer,S000148,sen,Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Transportation, and Housing and Urban Development, and Related Agencies",Department of Housing and Urban Development,Community Development Fund,"Urban League Empowerment Center, LLC","National Urban League, Inc.",,NY,,,3000000,S,Kirsten E. Gillibrand,G000555,sen,Democrat,Charles E. Schumer,S000148,sen,Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Transportation, and Housing and Urban Development, and Related Agencies",Department of Housing and Urban Development,Community Development Fund,Employment and job training services,Community Development for All People,,OH,,,250000,S,Sherrod Brown,B000944,sen,Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Transportation, and Housing and Urban Development, and Related Agencies",Department of Housing and Urban Development,Community Development Fund,Lead Safe Home Fund,Lead Safe Cleveland Coalition,,OH,,,1000000,S,Sherrod Brown,B000944,sen,Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Transportation, and Housing and Urban Development, and Related Agencies",Department of Housing and Urban Development,Community Development Fund,Kitchen At The Arcade Business support services,City of Dayton,,OH,,,1300000,S,Sherrod Brown,B000944,sen,Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Transportation, and Housing and Urban Development, and Related Agencies",Department of Housing and Urban Development,Community Development Fund,United Way of Youngstown and the Mahoning Valley Volunteer Response Center,United Way of Youngstown and the Mahoning Valley,,OH,,,1500000,S,Sherrod Brown,B000944,sen,Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Transportation, and Housing and Urban Development, and Related Agencies",Department of Housing and Urban Development,Community Development Fund,Health and Housing Facility,Dayton Children’s Hospital,,OH,,,2000000,S,Sherrod Brown,B000944,sen,Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Transportation, and Housing and Urban Development, and Related Agencies",Department of Housing and Urban Development,Community Development Fund,Golden Eagle II in Tillamook,Northwest Coastal Housing,,OR,,,500000,S,Jeff Merkley,M001176,sen,Democrat,Ron Wyden,W000779,sen,Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Transportation, and Housing and Urban Development, and Related Agencies",Department of Housing and Urban Development,Community Development Fund,Portland Mercado Plaza Repairs & Upgrades,Hacienda Community Development Corporation,,OR,,,529000,S,Jeff Merkley,M001176,sen,Democrat,Ron Wyden,W000779,sen,Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Transportation, and Housing and Urban Development, and Related Agencies",Department of Housing and Urban Development,Community Development Fund,"Community Land Trust Developments in Corvallis, and Clackamas County",DevNW—Community Land Trust Affordable Housing,,OR,,,550000,S,Jeff Merkley,M001176,sen,Democrat,Ron Wyden,W000779,sen,Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Transportation, and Housing and Urban Development, and Related Agencies",Department of Housing and Urban Development,Community Development Fund,Hub City Village,Creating Housing Coalition,,OR,,,800000,S,Jeff Merkley,M001176,sen,Democrat,Ron Wyden,W000779,sen,Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Transportation, and Housing and Urban Development, and Related Agencies",Department of Housing and Urban Development,Community Development Fund,Brian’s Place: Community Action Sheltering Services,Mid-Willamette Valley Community Action Agency,,OR,,,1000000,S,Jeff Merkley,M001176,sen,Democrat,Ron Wyden,W000779,sen,Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Transportation, and Housing and Urban Development, and Related Agencies",Department of Housing and Urban Development,Community Development Fund,Expanding Permanently Affordable Homeownership Opportunities,Proud Ground,,OR,,,1000000,S,Jeff Merkley,M001176,sen,Democrat,Ron Wyden,W000779,sen,Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Transportation, and Housing and Urban Development, and Related Agencies",Department of Housing and Urban Development,Community Development Fund,Lazy Days Mobile Home and RV Park,Homes for Good,,OR,,,1000000,S,Jeff Merkley,M001176,sen,Democrat,Ron Wyden,W000779,sen,Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Transportation, and Housing and Urban Development, and Related Agencies",Department of Housing and Urban Development,Community Development Fund,Rural Resident Development,North Willamette Valley Habitat for Humanity,,OR,,,1000000,S,Jeff Merkley,M001176,sen,Democrat,Ron Wyden,W000779,sen,Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Transportation, and Housing and Urban Development, and Related Agencies",Department of Housing and Urban Development,Community Development Fund,Kid Time Early Learning/ Childcare Expansion,Kid Time Discovery Experience,,OR,,,1172000,S,Jeff Merkley,M001176,sen,Democrat,Ron Wyden,W000779,sen,Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Transportation, and Housing and Urban Development, and Related Agencies",Department of Housing and Urban Development,Community Development Fund,Acquisition of property for permanent Veterans’ homeless shelter,Mid-Willamette Valley Community Action Agency,,OR,,,1200000,S,Jeff Merkley,M001176,sen,Democrat,Ron Wyden,W000779,sen,Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Transportation, and Housing and Urban Development, and Related Agencies",Department of Housing and Urban Development,Community Development Fund,Blue Heron Infrastructure Improvements,Confederated Tribes of Grand Ronde,,OR,,,2000000,S,Jeff Merkley,M001176,sen,Democrat,Ron Wyden,W000779,sen,Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Transportation, and Housing and Urban Development, and Related Agencies",Department of Housing and Urban Development,Community Development Fund,Foster Townhomes: Habitat’s 40–Home Community in East Portland,Habitat for Humanity Portland Region,,OR,,,2000000,S,Jeff Merkley,M001176,sen,Democrat,Ron Wyden,W000779,sen,Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Transportation, and Housing and Urban Development, and Related Agencies",Department of Housing and Urban Development,Community Development Fund,Harbor Village RV Park,Casa of Oregon,,OR,,,2000000,S,Jeff Merkley,M001176,sen,Democrat,Ron Wyden,W000779,sen,Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Transportation, and Housing and Urban Development, and Related Agencies",Department of Housing and Urban Development,Community Development Fund,HOPE Plaza Housing and Economic Development Project,Center for Hope and Safety,,OR,,,2000000,S,Jeff Merkley,M001176,sen,Democrat,Ron Wyden,W000779,sen,Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Transportation, and Housing and Urban Development, and Related Agencies",Department of Housing and Urban Development,Community Development Fund,Salem YMCA Veteran Housing,Oregon Housing and Community Services,,OR,,,2000000,S,Jeff Merkley,M001176,sen,Democrat,Ron Wyden,W000779,sen,Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Transportation, and Housing and Urban Development, and Related Agencies",Department of Housing and Urban Development,Community Development Fund,53rd Avenue Park West Inclusive Park,City of Hillsboro,,OR,,,3000000,S,Jeff Merkley,M001176,sen,Democrat,Ron Wyden,W000779,sen,Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Transportation, and Housing and Urban Development, and Related Agencies",Department of Housing and Urban Development,Community Development Fund,Affordable Housing in Pittsburgh,"ACTION–Housing, Inc.",,PA,,,500000,S,"Robert P. Casey, Jr.",C001070,sen,Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Transportation, and Housing and Urban Development, and Related Agencies",Department of Housing and Urban Development,Community Development Fund,Remediation of hazardous materials and downtown renewal,McKees Rocks Community Development Corporation,,PA,,,500000,S,"Robert P. Casey, Jr.",C001070,sen,Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Transportation, and Housing and Urban Development, and Related Agencies",Department of Housing and Urban Development,Community Development Fund,Sharswood Ridge mixed use project,Philadelphia Housing Authority,,PA,,,500000,S,"Robert P. Casey, Jr.",C001070,sen,Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Transportation, and Housing and Urban Development, and Related Agencies",Department of Housing and Urban Development,Community Development Fund,Dr. Tanner G. Duckrey Schoolyard Redevelopment,The Big SandBox,,PA,,,650000,S,"Robert P. Casey, Jr.",C001070,sen,Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Transportation, and Housing and Urban Development, and Related Agencies",Department of Housing and Urban Development,Community Development Fund,Covenant House PA Transition Housing,Covenant House Pennsylvania,,PA,,,750000,S,"Robert P. Casey, Jr.",C001070,sen,Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Transportation, and Housing and Urban Development, and Related Agencies",Department of Housing and Urban Development,Community Development Fund,A Home for Returning Citizens,Urban League of Philadelphia,,PA,,,950000,S,"Robert P. Casey, Jr.",C001070,sen,Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Transportation, and Housing and Urban Development, and Related Agencies",Department of Housing and Urban Development,Community Development Fund,Delaware County Long-Term Care Relocation Services,Liberty Resources Inc.,,PA,,,1000000,S,"Robert P. Casey, Jr.",C001070,sen,Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Transportation, and Housing and Urban Development, and Related Agencies",Department of Housing and Urban Development,Community Development Fund,Jim Thorpe Community Facility,Borough of Jim Thorpe,,PA,,,1468000,S,"Robert P. Casey, Jr.",C001070,sen,Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Transportation, and Housing and Urban Development, and Related Agencies",Department of Housing and Urban Development,Community Development Fund,Healthy Food Hub Commercial Kitchen,Southside Community Land Trust,,RI,,,190000,S,Sheldon Whitehouse,W000802,sen,Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Transportation, and Housing and Urban Development, and Related Agencies",Department of Housing and Urban Development,Community Development Fund,Improve pedestrian safety,Town of Burrillville,,RI,,,200000,S,Jack Reed,R000122,sen,Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Transportation, and Housing and Urban Development, and Related Agencies",Department of Housing and Urban Development,Community Development Fund,Minority Business Development Hub,RI Minority Business Development Institute,,RI,,,500000,S,Sheldon Whitehouse,W000802,sen,Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Transportation, and Housing and Urban Development, and Related Agencies",Department of Housing and Urban Development,Community Development Fund,Farm Fresh Rhode Island Food Hub: Building Fit Out and Improvements,Farm Fresh,,RI,,,581000,S,Sheldon Whitehouse,W000802,sen,Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Transportation, and Housing and Urban Development, and Related Agencies",Department of Housing and Urban Development,Community Development Fund,Affordable Housing for Victims of Abuse in Rhode Island,"Sojourner House, Inc.",,RI,,,850000,S,Sheldon Whitehouse,W000802,sen,Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Transportation, and Housing and Urban Development, and Related Agencies",Department of Housing and Urban Development,Community Development Fund,Dorcas International Institute Funding for Refugee Housing,Dorcas International Institute of Rhode Island,,RI,,,1000000,S,Sheldon Whitehouse,W000802,sen,Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Transportation, and Housing and Urban Development, and Related Agencies",Department of Housing and Urban Development,Community Development Fund,Newport County YMCA Renovation and Expansion Project,Newport County YMCA,,RI,,,1000000,S,Jack Reed,R000122,sen,Democrat,Sheldon Whitehouse,W000802,sen,Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Transportation, and Housing and Urban Development, and Related Agencies",Department of Housing and Urban Development,Community Development Fund,Upper South Providence Community Hub,Providence Redevelopment Agency,,RI,,,1000000,S,Sheldon Whitehouse,W000802,sen,Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Transportation, and Housing and Urban Development, and Related Agencies",Department of Housing and Urban Development,Community Development Fund,NeighborWorks Blackstone River Valley affordable housing development,NeighborWorks Blackstone River Valley,,RI,,,1082000,S,Jack Reed,R000122,sen,Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Transportation, and Housing and Urban Development, and Related Agencies",Department of Housing and Urban Development,Community Development Fund,Summer Street Affordable Housing Phase 1,Crossroads Rhode Island,,RI,,,2000000,S,Jack Reed,R000122,sen,Democrat,Sheldon Whitehouse,W000802,sen,Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Transportation, and Housing and Urban Development, and Related Agencies",Department of Housing and Urban Development,Community Development Fund,Public plaza site remediation and infrastructure improvements,City of Pawtucket,,RI,,,3000000,S,Jack Reed,R000122,sen,Democrat,Sheldon Whitehouse,W000802,sen,Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Transportation, and Housing and Urban Development, and Related Agencies",Department of Housing and Urban Development,Community Development Fund,Warwick City Plaza infrastructure improvements,City of Warwick,,RI,,,5000000,S,Jack Reed,R000122,sen,Democrat,Sheldon Whitehouse,W000802,sen,Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Transportation, and Housing and Urban Development, and Related Agencies",Department of Housing and Urban Development,Community Development Fund,Sumter Pride,City of Sumter,,SC,,,750000,S,Lindsey Graham,G000359,sen,Republican,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Transportation, and Housing and Urban Development, and Related Agencies",Department of Housing and Urban Development,Community Development Fund,Avera Queen of Peace and City of Mitchell Workforce Housing Project,Mitchell Area Development Corporation,,SD,,,2406000,S,Mike Rounds,R000605,sen,Republican,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
